	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O
Sample1	10	10	10	10	5	5	5	5	5	40	40	20	20	20	20
Sample2	20	20	20	20	5	5	5	5	5	40	40	20	20	20	20
Sample3	20	20	20	20	5	5	5	5	5	40	40	20	20	20	20
Sample4	30	30	30	30	5	5	5	5	5	40	40	20	20	20	20
Sample5	35	35	35	35	5	5	5	5	5	40	40	20	20	20	20
Sample6	41	41	41	41	5	5	5	5	5	40	40	20	20	20	20
Sample7	47	47	47	47	5	5	5	5	5	40	40	20	20	20	20
Sample8	53	53	53	53	5	5	5	5	5	40	40	20	20	20	20
Sample9	5	5	5	5	10	10	10	10	10	20	20	20	20	40	40
Sample10	5	5	5	5	20	20	20	20	20	20	20	20	20	40	40
Sample11	5	5	5	5	20	20	20	20	20	20	20	20	20	40	40
Sample12	5	5	5	5	30	30	30	30	30	20	20	20	20	40	40
Sample13	5	5	5	5	35	35	35	35	35	20	20	20	20	40	40
Sample14	5	5	5	5	41	41	41	41	41	20	20	20	20	40	40
Sample15	5	5	5	5	47	47	47	47	47	20	20	20	20	40	40
Sample16	5	5	5	5	53	53	53	53	53	20	20	20	20	40	40
